iter	Logloss
0	0.6897972787
1	0.6866030551
2	0.6836003974
3	0.6804299685
4	0.6770441036
5	0.6740134966
6	0.6708497907
7	0.6678436581
8	0.6649052082
9	0.6621304503
10	0.6591788566
11	0.6560981675
12	0.6538973516
13	0.6517125498
14	0.649103599
15	0.6467948385
16	0.6442241858
17	0.6423030136
18	0.6398702187
19	0.6379580356
20	0.635737353
21	0.6335847307
22	0.6320644039
23	0.6303193121
24	0.6283795574
25	0.6267721346
26	0.6249059923
27	0.6230341845
28	0.6213250491
29	0.6196585174
30	0.6179117637
31	0.6162287268
32	0.6144961367
33	0.6129355856
34	0.6114297999
35	0.6097535993
36	0.6081190204
37	0.6067442564
38	0.605554864
39	0.6043270602
40	0.6029076529
41	0.6013576394
42	0.5999253528
43	0.5985087782
44	0.5970602508
45	0.5955878154
46	0.5942433046
47	0.5928025954
48	0.5915135299
49	0.5903172257
50	0.5890341277
51	0.5879469012
52	0.5869013343
53	0.5859494351
54	0.5850104153
55	0.5837652376
56	0.5824456923
57	0.5810261339
58	0.5798166483
59	0.5789215163
60	0.5778367071
61	0.5767713868
62	0.5757615873
63	0.5747738451
64	0.5737479182
65	0.5726075881
66	0.5715522388
67	0.5705489735
68	0.5698094887
69	0.5686857771
70	0.5678776278
71	0.5670176213
72	0.5663686318
73	0.5655244884
74	0.5647518045
75	0.5639452793
76	0.5629501343
77	0.5620993812
78	0.5611553759
79	0.560334234
80	0.5595536562
81	0.5587255648
82	0.5577494555
83	0.5570415459
84	0.5563926319
85	0.555734049
86	0.5550146575
87	0.5542360438
88	0.5534388854
89	0.5526122291
90	0.5519956834
91	0.5511504069
92	0.550364466
93	0.5496718152
94	0.5489772381
95	0.5481021994
96	0.5472756943
97	0.5464133839
98	0.5456842857
99	0.5449336968
100	0.5442158161
101	0.5435469221
102	0.5428253023
103	0.542189041
104	0.5413853107
105	0.540548419
106	0.5397183258
107	0.5390980031
108	0.5385626614
109	0.5379209613
110	0.5373885655
111	0.5365736933
112	0.5359708578
113	0.5354062449
114	0.5347651113
115	0.53422773
116	0.5335089806
117	0.5328569318
118	0.532128589
119	0.5314143341
120	0.5308226028
121	0.5302320801
122	0.5295992559
123	0.5289860338
124	0.5285116139
125	0.5278653438
126	0.5272773138
127	0.5268358287
128	0.5263107602
129	0.525474284
130	0.5246833575
131	0.5242043675
132	0.523419824
133	0.5229525424
134	0.5224088537
135	0.5219565665
136	0.521466208
137	0.5209321126
138	0.5204474572
139	0.5198726088
140	0.5193546031
141	0.5186993438
142	0.5182223934
143	0.51776327
144	0.5174083899
145	0.5169735144
146	0.5164309209
147	0.5158970144
148	0.5154321878
149	0.5149108207
150	0.5143839015
151	0.5138024056
152	0.5132224206
153	0.5127324775
154	0.5122478221
155	0.511628708
156	0.5111474519
157	0.5106962601
158	0.5101927578
159	0.5096878958
160	0.5092023717
161	0.5086613268
162	0.5081258717
163	0.507551061
164	0.5070534886
165	0.5065584844
166	0.5060612896
167	0.5057101108
168	0.5053125514
169	0.5047724507
170	0.5043189549
171	0.5039124442
172	0.5033801995
173	0.5027400857
174	0.5021688631
175	0.5016126727
176	0.5011714898
177	0.5007855255
178	0.5004105898
179	0.499906861
180	0.4993703106
181	0.4988178971
182	0.4983069543
183	0.4978462068
184	0.4974251549
185	0.4969775889
186	0.4966383452
187	0.4961548985
188	0.4957131112
189	0.4953872379
190	0.4949765725
191	0.4944782068
192	0.4939735337
193	0.4936359897
194	0.493223889
195	0.4927299424
196	0.4923260377
197	0.492022977
198	0.4916116318
199	0.4911684093
200	0.4906450026
201	0.4901567969
202	0.4897715502
203	0.4893603183
204	0.4888816682
205	0.4885788342
206	0.4881773089
207	0.4877512715
208	0.4872559651
209	0.486786493
210	0.4864586556
211	0.4861265126
212	0.485669882
213	0.485287808
214	0.4847585848
215	0.4843353423
216	0.4839063588
217	0.4834095794
218	0.4829793873
219	0.4826295305
220	0.4822104048
221	0.4819171641
222	0.4814280897
223	0.4809502328
224	0.4806413178
225	0.4801555671
226	0.4796677769
227	0.4792014396
228	0.4787622584
229	0.4782934661
230	0.4778208591
231	0.4774355369
232	0.4771001457
233	0.4766871386
234	0.4761943251
235	0.4758185207
236	0.475498766
237	0.4750814155
238	0.47469564
239	0.4743569251
240	0.473876802
241	0.473635834
242	0.473259161
243	0.4728395065
244	0.4724878368
245	0.4720995686
246	0.4717673122
247	0.4712847341
248	0.4709114981
249	0.4704126415
250	0.4700255441
251	0.4694970764
252	0.4691465019
253	0.4688580957
254	0.4683314408
255	0.4679983536
256	0.4675628738
257	0.4671731326
258	0.4666920652
259	0.4663290647
260	0.4659559798
261	0.4654423931
262	0.465108286
263	0.4646865165
264	0.4642475241
265	0.4639246723
266	0.4634698169
267	0.4630215711
268	0.4625190508
269	0.4619161398
270	0.4615028306
271	0.4611679304
272	0.46066609
273	0.4603772305
274	0.4600528679
275	0.4596411072
276	0.4590322664
277	0.4585968622
278	0.4582278941
279	0.4579692123
280	0.4574548702
281	0.4571261642
282	0.4566489871
283	0.4561228611
284	0.4557480765
285	0.45549049
286	0.4551775715
287	0.4548617448
288	0.4542862543
289	0.453865089
290	0.4535950387
291	0.4532511494
292	0.4528849385
293	0.4525900359
294	0.4522329651
295	0.4518815598
296	0.4514991836
297	0.4511338036
298	0.4507436469
299	0.450350091
300	0.4499275661
301	0.4495620728
302	0.4492014894
303	0.4487170229
304	0.4482797302
305	0.4479018863
306	0.4476770458
307	0.4472537277
308	0.4470394626
309	0.4465773176
310	0.4462369409
311	0.4458793791
312	0.4454894113
313	0.4451475238
314	0.4447873559
315	0.4444278679
316	0.4441771554
317	0.4438234084
318	0.4435060709
319	0.4430626218
320	0.4425887306
321	0.442187923
322	0.4417854158
323	0.4413702559
324	0.4409413857
325	0.4406086383
326	0.4402878261
327	0.4397976564
328	0.4394929716
329	0.4392631455
330	0.438931078
331	0.4385155404
332	0.4381679875
333	0.437689073
334	0.4372605428
335	0.4369325543
336	0.4366173319
337	0.436404011
338	0.4359706841
339	0.4354859909
340	0.4350251302
341	0.4346877372
342	0.4343677181
343	0.4341248238
344	0.4337453181
345	0.4334148369
346	0.4330748001
347	0.4328731877
348	0.4325298649
349	0.4321935673
350	0.4317957812
351	0.4313738983
352	0.4310034572
353	0.4306031029
354	0.4303610018
355	0.4301167856
356	0.4298356689
357	0.4294850567
358	0.4291655286
359	0.4288350851
360	0.4285441484
361	0.4281201127
362	0.4278721573
363	0.4275858662
364	0.4273205748
365	0.4270644235
366	0.4267262374
367	0.4264195886
368	0.4261428909
369	0.4257986239
370	0.4254881604
371	0.4252514225
372	0.4248086155
373	0.424529425
374	0.4241476531
375	0.4237304159
376	0.4234159111
377	0.423131735
378	0.4228994539
379	0.4224466758
380	0.4221001049
381	0.421755498
382	0.4214940213
383	0.4212129045
384	0.4208920923
385	0.4205610823
386	0.4202356244
387	0.4199358119
388	0.419592338
389	0.4192491286
390	0.4188847306
391	0.4185651269
392	0.4183456874
393	0.4180596984
394	0.4176816279
395	0.4174265342
396	0.4172225046
397	0.416965258
398	0.4166350412
399	0.416321745
400	0.4159174249
401	0.4155353131
402	0.4153044295
403	0.415024899
404	0.4146623517
405	0.414321144
406	0.4140434643
407	0.4136563292
408	0.4133276987
409	0.4130682615
410	0.4127676935
411	0.4124929976
412	0.4120938141
413	0.411743504
414	0.411288573
415	0.4108391563
416	0.4104809147
417	0.4101463544
418	0.4098386859
419	0.4094065298
420	0.4090933092
421	0.4087247943
422	0.4084322712
423	0.4082395346
424	0.4077894758
425	0.4074817318
426	0.4071288911
427	0.4068496251
428	0.4065084174
429	0.4062355721
430	0.4059113606
431	0.4056512814
432	0.4052679232
433	0.4049049604
434	0.4045169188
435	0.4041519165
436	0.4037381918
437	0.4034653088
438	0.4031545054
439	0.4029060968
440	0.402643487
441	0.4023964004
442	0.4019737621
443	0.4016137454
444	0.4012336353
445	0.4009368443
446	0.4006917972
