iter	Passed	Remaining
0	14	14231
1	26	13143
2	38	12760
3	50	12616
4	62	12535
5	74	12313
6	85	12108
7	96	11986
8	107	11889
9	119	11868
10	131	11788
11	142	11717
12	153	11633
13	164	11585
14	175	11542
15	187	11506
16	198	11464
17	209	11444
18	221	11431
19	232	11402
20	243	11368
21	255	11338
22	266	11315
23	277	11279
24	288	11255
25	299	11229
26	310	11203
27	321	11177
28	333	11166
29	344	11137
30	355	11125
31	367	11107
32	378	11087
33	389	11067
34	400	11052
35	412	11047
36	423	11030
37	434	11011
38	445	10983
39	457	10969
40	468	10954
41	479	10941
42	490	10922
43	502	10921
44	514	10914
45	526	10913
46	538	10910
47	549	10897
48	560	10884
49	572	10868
50	583	10859
51	596	10882
52	608	10871
53	619	10855
54	630	10837
55	642	10823
56	653	10804
57	664	10789
58	675	10778
59	687	10765
60	698	10756
61	709	10741
62	721	10724
63	732	10712
64	743	10701
65	755	10686
66	766	10673
67	777	10658
68	788	10639
69	799	10627
70	811	10615
71	822	10602
72	833	10589
73	845	10575
74	857	10577
75	869	10570
76	881	10565
77	892	10552
78	904	10541
79	915	10530
80	927	10521
81	938	10509
82	950	10496
83	961	10481
84	972	10465
85	983	10453
86	994	10438
87	1005	10424
88	1017	10411
89	1028	10399
90	1039	10386
91	1051	10375
92	1064	10377
93	1076	10370
94	1087	10361
95	1099	10353
96	1111	10346
97	1125	10360
98	1137	10350
99	1148	10338
100	1160	10326
101	1171	10314
102	1182	10301
103	1194	10288
104	1205	10274
105	1216	10262
106	1228	10250
107	1239	10239
108	1251	10229
109	1262	10216
110	1274	10204
111	1285	10191
112	1296	10178
113	1308	10166
114	1319	10153
115	1330	10141
116	1341	10127
117	1353	10116
118	1365	10109
119	1376	10096
120	1388	10084
121	1400	10077
122	1411	10064
123	1422	10050
124	1433	10037
125	1444	10022
126	1456	10009
127	1467	9996
128	1479	9988
129	1491	9978
130	1502	9966
131	1513	9954
132	1525	9941
133	1536	9931
134	1548	9921
135	1558	9901
136	1569	9886
137	1581	9877
138	1594	9873
139	1605	9861
140	1617	9851
141	1628	9841
142	1640	9829
143	1651	9817
144	1673	9870
145	1684	9854
146	1696	9843
147	1707	9831
148	1719	9818
149	1730	9804
150	1741	9789
151	1752	9776
152	1764	9765
153	1775	9754
154	1787	9746
155	1800	9740
156	1812	9733
157	1824	9725
158	1836	9713
159	1848	9703
160	1859	9690
161	1871	9679
162	1882	9668
163	1894	9656
164	1905	9643
165	1917	9631
166	1928	9621
167	1940	9608
168	1951	9596
169	1963	9585
170	1974	9573
171	1986	9562
172	1998	9551
173	2009	9540
174	2021	9531
175	2033	9520
176	2045	9509
177	2056	9497
178	2068	9485
