,weight
0,888.5637950753404
1,21022.39466281116
2,44837.7119348391
3,2589571.013645864
4,11263.300316872042
5,252.38022172466933
6,695233543.2827181
7,354923.3283904151
8,315734.599756974
9,1749548.139666656
10,8885.85445953682
11,1104338.2436602584
12,107755.76417443331
13,357386964.3400111
14,295366622.6735301
15,434687.16802510776
16,74856.94615796643
17,5671.425030863168
18,102293564.8709045
19,1100722.9424505597
20,63.90628975168671
21,10198.78148752
22,20754.74283552346
23,101276703.48551132
24,2041149.1970199656
25,756.3348089362123
26,10127951.300383361
27,4332.285843476028
28,9508758906.86839
29,287106.7952696813
30,4335.538323176493
31,35483098637.00156
32,116.6061909780787
33,178128294.5216415
34,84513.98353434892
35,2153801.1690813606
36,5955416922.847556
37,217473.93554106276
38,1380.42174780806
39,115121.20614631395
40,36411.52730519301
41,141557160.31548643
42,57302.0676080516
43,2081660.6037966283
44,204788.60472224784
45,5015.1164516409035
46,21843074.534369607
47,1040564.3591644886
48,3421539.362956913
49,8181.8036593419365
50,424322.6526547113
51,8706.565162165289
52,441563.88685828994
53,74215501.238871
54,86531.77457665373
55,53054996.8356216
56,2071.4762903387095
57,110991802.07476911
58,75219308.87553655
59,55783.7553152283
60,41936481.17483559
61,123512269.44472879
62,91281.87479201447
63,18904768.091724645
64,1504076807.7775335
65,5206065.591951313
66,2339740543.8193126
67,19355.299067420452
68,100736.45915108503
69,43130.52051142463
70,183953.89331949144
71,295551.6684807338
72,4258343.778310671
73,48137.35082796077
74,115365.49192889895
75,358.78317924972583
76,655673.0754130151
77,798.6605606935332
78,3045635.5884021316
79,2398604.8040299364
80,416.2346829222566
81,513.0700881682797
82,20708.0212794355
83,1833.5375249963747
84,24248.120173552048
85,37611.84050874075
86,622644.0379915037
87,5564783.799978854
88,3396.4186516195236
89,125524.01009074172
90,232514.21689144665
91,115890380.25966533
92,13070.12499293113
93,146328421.24796218
94,0.49626660866763306
95,1182145.693408881
96,471635.5322493399
97,776124.631872017
98,4.063399615895783
99,10123149.476664154
100,30884.338730384174
101,38259327.55293769
102,3116997.3031619233
103,23097.537377373665
104,73522.99215155099
105,25623337441.63447
106,2185472.013908388
107,35816.41652507841
108,272966.4401571946
109,13028065.394557094
110,526055.2544279196
111,938935.4031963337
112,668.54040927292
